training_seed,split,model,interface,protocol,candidate_seed,samples,metric,value,source
43,test,M1-96,N,k50_seed42,42,5675,HR@1,0.06255506607929516,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,M1-96,N,k50_seed42,42,5675,NDCG@5,0.08625989280353889,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,M1-96,N,k50_seed42,42,5675,MRR,0.13632574613741738,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,N96,N,k20_seed42,42,5675,HR@1,0.2688986784140969,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,N96,N,k20_seed42,42,5675,NDCG@5,0.37103626248934385,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,N96,N,k20_seed42,42,5675,MRR,0.4069725230201683,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,N96,N,k50_seed42,42,5675,HR@1,0.06766519823788546,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,N96,N,k50_seed42,42,5675,NDCG@5,0.09062693518105605,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
43,test,N96,N,k50_seed42,42,5675,MRR,0.14795180544114464,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed43/test_summary.txt
44,validation,Y96,Y,binary,,12381,AUC,0.7821654923930735,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,Y96,Y,binary,,12381,F1,0.7800167385566213,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,Y96,Y,binary,,12381,Accuracy,0.7240125999515387,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,N96,N,k5,42,5675,HR@1,0.6352422907488987,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,N96,N,k5,42,5675,NDCG@5,0.8345124329410781,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,N96,N,k5,42,5675,MRR,0.778957415565344,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,M1-96,Y,binary,,12381,AUC,0.7851159777663799,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,M1-96,Y,binary,,12381,F1,0.7844838425751289,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,M1-96,Y,binary,,12381,Accuracy,0.7231241418302238,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
44,validation,M1-96,N,k5,42,5675,HR@1,0.6206167400881057,.agent/ms96_integration/imported/a9c6cd9/artifacts/multiseed96/seed44/validation_summary.txt
