output_file,output_row,output_row_key,output_column,source_file,source_row_key,source_column,transformation
supervision_semantics_compact.csv,5,panel=B|run=Y24|split=validation,value_2,paper/tables/semantics_bridge.csv,run=Y24|split=validation,NDCG@5,identity selection
supervision_semantics_compact.csv,5,panel=B|run=Y24|split=validation,metric_3,paper/tables/semantics_bridge.csv,run=Y24|split=validation,,static panel/display label
supervision_semantics_compact.csv,5,panel=B|run=Y24|split=validation,value_3,paper/tables/semantics_bridge.csv,run=Y24|split=validation,MRR,identity selection
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,panel,paper/tables/semantics_bridge.csv,run=Y48|split=validation,,static panel/display label
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,run,paper/tables/semantics_bridge.csv,run=Y48|split=validation,run,identity selection
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,exposure,paper/tables/semantics_bridge.csv,run=Y48|split=validation,exposure,identity selection
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,split,paper/tables/semantics_bridge.csv,run=Y48|split=validation,split,identity selection
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,interface,paper/tables/semantics_bridge.csv,run=Y48|split=validation,interface,identity selection
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,metric_1,paper/tables/semantics_bridge.csv,run=Y48|split=validation,,static panel/display label
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,value_1,paper/tables/semantics_bridge.csv,run=Y48|split=validation,HR@1,identity selection
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,metric_2,paper/tables/semantics_bridge.csv,run=Y48|split=validation,,static panel/display label
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,value_2,paper/tables/semantics_bridge.csv,run=Y48|split=validation,NDCG@5,identity selection
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,metric_3,paper/tables/semantics_bridge.csv,run=Y48|split=validation,,static panel/display label
supervision_semantics_compact.csv,6,panel=B|run=Y48|split=validation,value_3,paper/tables/semantics_bridge.csv,run=Y48|split=validation,MRR,identity selection
supervision_semantics_compact.csv,7,panel=B|run=Y96|split=validation,panel,paper/tables/semantics_bridge.csv,run=Y96|split=validation,,static panel/display label
supervision_semantics_compact.csv,7,panel=B|run=Y96|split=validation,run,paper/tables/semantics_bridge.csv,run=Y96|split=validation,run,identity selection
supervision_semantics_compact.csv,7,panel=B|run=Y96|split=validation,exposure,paper/tables/semantics_bridge.csv,run=Y96|split=validation,exposure,identity selection
supervision_semantics_compact.csv,7,panel=B|run=Y96|split=validation,split,paper/tables/semantics_bridge.csv,run=Y96|split=validation,split,identity selection
supervision_semantics_compact.csv,7,panel=B|run=Y96|split=validation,interface,paper/tables/semantics_bridge.csv,run=Y96|split=validation,interface,identity selection
supervision_semantics_compact.csv,7,panel=B|run=Y96|split=validation,metric_1,paper/tables/semantics_bridge.csv,run=Y96|split=validation,,static panel/display label
supervision_semantics_compact.csv,7,panel=B|run=Y96|split=validation,value_1,paper/tables/semantics_bridge.csv,run=Y96|split=validation,HR@1,identity selection
supervision_semantics_compact.csv,7,panel=B|run=Y96|split=validation,metric_2,paper/tables/semantics_bridge.csv,run=Y96|split=validation,,static panel/display label
supervision_semantics_compact.csv,7,panel=B|run=Y96|split=validation,value_2,paper/tables/semantics_bridge.csv,run=Y96|split=validation,NDCG@5,identity selection
supervision_semantics_compact.csv,7,panel=B|run=Y96|split=validation,metric_3,paper/tables/semantics_bridge.csv,run=Y96|split=validation,,static panel/display label
supervision_semantics_compact.csv,7,panel=B|run=Y96|split=validation,value_3,paper/tables/semantics_bridge.csv,run=Y96|split=validation,MRR,identity selection
supervision_semantics_compact.csv,8,panel=B|run=N96|split=validation,panel,paper/tables/semantics_bridge.csv,run=N96|split=validation,,static panel/display label
supervision_semantics_compact.csv,8,panel=B|run=N96|split=validation,run,paper/tables/semantics_bridge.csv,run=N96|split=validation,run,identity selection
supervision_semantics_compact.csv,8,panel=B|run=N96|split=validation,exposure,paper/tables/semantics_bridge.csv,run=N96|split=validation,exposure,identity selection
supervision_semantics_compact.csv,8,panel=B|run=N96|split=validation,split,paper/tables/semantics_bridge.csv,run=N96|split=validation,split,identity selection
supervision_semantics_compact.csv,8,panel=B|run=N96|split=validation,interface,paper/tables/semantics_bridge.csv,run=N96|split=validation,interface,identity selection
supervision_semantics_compact.csv,8,panel=B|run=N96|split=validation,metric_1,paper/tables/semantics_bridge.csv,run=N96|split=validation,,static panel/display label
supervision_semantics_compact.csv,8,panel=B|run=N96|split=validation,value_1,paper/tables/semantics_bridge.csv,run=N96|split=validation,HR@1,identity selection
supervision_semantics_compact.csv,8,panel=B|run=N96|split=validation,metric_2,paper/tables/semantics_bridge.csv,run=N96|split=validation,,static panel/display label
supervision_semantics_compact.csv,8,panel=B|run=N96|split=validation,value_2,paper/tables/semantics_bridge.csv,run=N96|split=validation,NDCG@5,identity selection
supervision_semantics_compact.csv,8,panel=B|run=N96|split=validation,metric_3,paper/tables/semantics_bridge.csv,run=N96|split=validation,,static panel/display label
supervision_semantics_compact.csv,8,panel=B|run=N96|split=validation,value_3,paper/tables/semantics_bridge.csv,run=N96|split=validation,MRR,identity selection
supervision_semantics_compact.csv,9,panel=B|run=Y96|split=test,panel,paper/tables/semantics_bridge.csv,run=Y96|split=test,,static panel/display label
supervision_semantics_compact.csv,9,panel=B|run=Y96|split=test,run,paper/tables/semantics_bridge.csv,run=Y96|split=test,run,identity selection
supervision_semantics_compact.csv,9,panel=B|run=Y96|split=test,exposure,paper/tables/semantics_bridge.csv,run=Y96|split=test,exposure,identity selection
supervision_semantics_compact.csv,9,panel=B|run=Y96|split=test,split,paper/tables/semantics_bridge.csv,run=Y96|split=test,split,identity selection
supervision_semantics_compact.csv,9,panel=B|run=Y96|split=test,interface,paper/tables/semantics_bridge.csv,run=Y96|split=test,interface,identity selection
supervision_semantics_compact.csv,9,panel=B|run=Y96|split=test,metric_1,paper/tables/semantics_bridge.csv,run=Y96|split=test,,static panel/display label
supervision_semantics_compact.csv,9,panel=B|run=Y96|split=test,value_1,paper/tables/semantics_bridge.csv,run=Y96|split=test,HR@1,identity selection
supervision_semantics_compact.csv,9,panel=B|run=Y96|split=test,metric_2,paper/tables/semantics_bridge.csv,run=Y96|split=test,,static panel/display label
supervision_semantics_compact.csv,9,panel=B|run=Y96|split=test,value_2,paper/tables/semantics_bridge.csv,run=Y96|split=test,NDCG@5,identity selection
supervision_semantics_compact.csv,9,panel=B|run=Y96|split=test,metric_3,paper/tables/semantics_bridge.csv,run=Y96|split=test,,static panel/display label
supervision_semantics_compact.csv,9,panel=B|run=Y96|split=test,value_3,paper/tables/semantics_bridge.csv,run=Y96|split=test,MRR,identity selection
supervision_semantics_compact.csv,10,panel=B|run=N96|split=test,panel,paper/tables/semantics_bridge.csv,run=N96|split=test,,static panel/display label
supervision_semantics_compact.csv,10,panel=B|run=N96|split=test,run,paper/tables/semantics_bridge.csv,run=N96|split=test,run,identity selection
supervision_semantics_compact.csv,10,panel=B|run=N96|split=test,exposure,paper/tables/semantics_bridge.csv,run=N96|split=test,exposure,identity selection
supervision_semantics_compact.csv,10,panel=B|run=N96|split=test,split,paper/tables/semantics_bridge.csv,run=N96|split=test,split,identity selection
supervision_semantics_compact.csv,10,panel=B|run=N96|split=test,interface,paper/tables/semantics_bridge.csv,run=N96|split=test,interface,identity selection
supervision_semantics_compact.csv,10,panel=B|run=N96|split=test,metric_1,paper/tables/semantics_bridge.csv,run=N96|split=test,,static panel/display label
supervision_semantics_compact.csv,10,panel=B|run=N96|split=test,value_1,paper/tables/semantics_bridge.csv,run=N96|split=test,HR@1,identity selection
supervision_semantics_compact.csv,10,panel=B|run=N96|split=test,metric_2,paper/tables/semantics_bridge.csv,run=N96|split=test,,static panel/display label
supervision_semantics_compact.csv,10,panel=B|run=N96|split=test,value_2,paper/tables/semantics_bridge.csv,run=N96|split=test,NDCG@5,identity selection
supervision_semantics_compact.csv,10,panel=B|run=N96|split=test,metric_3,paper/tables/semantics_bridge.csv,run=N96|split=test,,static panel/display label
supervision_semantics_compact.csv,10,panel=B|run=N96|split=test,value_3,paper/tables/semantics_bridge.csv,run=N96|split=test,MRR,identity selection
ms96_delta_summary_compact.csv,1,split=validation|protocol=binary|metric=AUC,split,paper/tables/ms96_delta_summary.csv,split=validation|protocol=binary|metric=AUC,split,identity selection or protocol label normalization
ms96_delta_summary_compact.csv,1,split=validation|protocol=binary|metric=AUC,protocol,paper/tables/ms96_delta_summary.csv,split=validation|protocol=binary|metric=AUC,protocol,identity selection or protocol label normalization
ms96_delta_summary_compact.csv,1,split=validation|protocol=binary|metric=AUC,metric,paper/tables/ms96_delta_summary.csv,split=validation|protocol=binary|metric=AUC,metric,identity selection or protocol label normalization
ms96_delta_summary_compact.csv,1,split=validation|protocol=binary|metric=AUC,delta_definition,paper/tables/ms96_delta_summary.csv,split=validation|protocol=binary|metric=AUC,delta_definition,identity selection or protocol label normalization
ms96_delta_summary_compact.csv,1,split=validation|protocol=binary|metric=AUC,mean_delta,paper/tables/ms96_delta_summary.csv,split=validation|protocol=binary|metric=AUC,mean,identity selection
ms96_delta_summary_compact.csv,1,split=validation|protocol=binary|metric=AUC,sample_sd,paper/tables/ms96_delta_summary.csv,split=validation|protocol=binary|metric=AUC,sample_std,identity selection
ms96_delta_summary_compact.csv,1,split=validation|protocol=binary|metric=AUC,seed_directions_42_43_44,paper/tables/ms96_main_{split}.csv or paper/tables/ms96_protocol_{split}.csv,split=validation|protocol=binary|metric=AUC,within-seed delta_AUC,sign only in seed order 42/43/44 from training_seed=42;training_seed=43;training_seed=44
ms96_delta_summary_compact.csv,2,split=validation|protocol=binary|metric=F1,split,paper/tables/ms96_delta_summary.csv,split=validation|protocol=binary|metric=F1,split,identity selection or protocol label normalization
ms96_delta_summary_compact.csv,2,split=validation|protocol=binary|metric=F1,protocol,paper/tables/ms96_delta_summary.csv,split=validation|protocol=binary|metric=F1,protocol,identity selection or protocol label normalization
ms96_delta_summary_compact.csv,2,split=validation|protocol=binary|metric=F1,metric,paper/tables/ms96_delta_summary.csv,split=validation|protocol=binary|metric=F1,metric,identity selection or protocol label normalization
ms96_delta_summary_compact.csv,2,split=validation|protocol=binary|metric=F1,delta_definition,paper/tables/ms96_delta_summary.csv,split=validation|protocol=binary|metric=F1,delta_definition,identity selection or protocol label normalization
ms96_delta_summary_compact.csv,2,split=validation|protocol=binary|metric=F1,mean_delta,paper/tables/ms96_delta_summary.csv,split=validation|protocol=binary|metric=F1,mean,identity selection
ms96_delta_summary_compact.csv,2,split=validation|protocol=binary|metric=F1,sample_sd,paper/tables/ms96_delta_summary.csv,split=validation|protocol=binary|metric=F1,sample_std,identity selection
ms96_delta_summary_compact.csv,2,split=validation|protocol=binary|metric=F1,seed_directions_42_43_44,paper/tables/ms96_main_{split}.csv or paper/tables/ms96_protocol_{split}.csv,split=validation|protocol=binary|metric=F1,within-seed delta_F1,sign only in seed order 42/43/44 from training_seed=42;training_seed=43;training_seed=44
ms96_delta_summary_compact.csv,3,split=validation|protocol=binary|metric=Accuracy,split,paper/tables/ms96_delta_summary.csv,split=validation|protocol=binary|metric=Accuracy,split,identity selection or protocol label normalization
ms96_delta_summary_compact.csv,3,split=validation|protocol=binary|metric=Accuracy,protocol,paper/tables/ms96_delta_summary.csv,split=validation|protocol=binary|metric=Accuracy,protocol,identity selection or protocol label normalization
ms96_delta_summary_compact.csv,3,split=validation|protocol=binary|metric=Accuracy,metric,paper/tables/ms96_delta_summary.csv,split=validation|protocol=binary|metric=Accuracy,metric,identity selection or protocol label normalization
ms96_delta_summary_compact.csv,3,split=validation|protocol=binary|metric=Accuracy,delta_definition,paper/tables/ms96_delta_summary.csv,split=validation|protocol=binary|metric=Accuracy,delta_definition,identity selection or protocol label normalization
ms96_delta_summary_compact.csv,3,split=validation|protocol=binary|metric=Accuracy,mean_delta,paper/tables/ms96_delta_summary.csv,split=validation|protocol=binary|metric=Accuracy,mean,identity selection
ms96_delta_summary_compact.csv,3,split=validation|protocol=binary|metric=Accuracy,sample_sd,paper/tables/ms96_delta_summary.csv,split=validation|protocol=binary|metric=Accuracy,sample_std,identity selection
ms96_delta_summary_compact.csv,3,split=validation|protocol=binary|metric=Accuracy,seed_directions_42_43_44,paper/tables/ms96_main_{split}.csv or paper/tables/ms96_protocol_{split}.csv,split=validation|protocol=binary|metric=Accuracy,within-seed delta_Accuracy,sign only in seed order 42/43/44 from training_seed=42;training_seed=43;training_seed=44
ms96_delta_summary_compact.csv,4,split=validation|protocol=k5|metric=HR@1,split,paper/tables/ms96_delta_summary.csv,split=validation|protocol=k5|metric=HR@1,split,identity selection or protocol label normalization
ms96_delta_summary_compact.csv,4,split=validation|protocol=k5|metric=HR@1,protocol,paper/tables/ms96_delta_summary.csv,split=validation|protocol=k5|metric=HR@1,protocol,identity selection or protocol label normalization
ms96_delta_summary_compact.csv,4,split=validation|protocol=k5|metric=HR@1,metric,paper/tables/ms96_delta_summary.csv,split=validation|protocol=k5|metric=HR@1,metric,identity selection or protocol label normalization
ms96_delta_summary_compact.csv,4,split=validation|protocol=k5|metric=HR@1,delta_definition,paper/tables/ms96_delta_summary.csv,split=validation|protocol=k5|metric=HR@1,delta_definition,identity selection or protocol label normalization
ms96_delta_summary_compact.csv,4,split=validation|protocol=k5|metric=HR@1,mean_delta,paper/tables/ms96_delta_summary.csv,split=validation|protocol=k5|metric=HR@1,mean,identity selection
ms96_delta_summary_compact.csv,4,split=validation|protocol=k5|metric=HR@1,sample_sd,paper/tables/ms96_delta_summary.csv,split=validation|protocol=k5|metric=HR@1,sample_std,identity selection
ms96_delta_summary_compact.csv,4,split=validation|protocol=k5|metric=HR@1,seed_directions_42_43_44,paper/tables/ms96_main_{split}.csv or paper/tables/ms96_protocol_{split}.csv,split=validation|protocol=k5|metric=HR@1,within-seed delta_HR@1,sign only in seed order 42/43/44 from training_seed=42|protocol=k5;training_seed=43|protocol=k5;training_seed=44|protocol=k5
ms96_delta_summary_compact.csv,5,split=validation|protocol=k5|metric=NDCG@5,split,paper/tables/ms96_delta_summary.csv,split=validation|protocol=k5|metric=NDCG@5,split,identity selection or protocol label normalization
ms96_delta_summary_compact.csv,5,split=validation|protocol=k5|metric=NDCG@5,protocol,paper/tables/ms96_delta_summary.csv,split=validation|protocol=k5|metric=NDCG@5,protocol,identity selection or protocol label normalization
ms96_delta_summary_compact.csv,5,split=validation|protocol=k5|metric=NDCG@5,metric,paper/tables/ms96_delta_summary.csv,split=validation|protocol=k5|metric=NDCG@5,metric,identity selection or protocol label normalization
ms96_delta_summary_compact.csv,5,split=validation|protocol=k5|metric=NDCG@5,delta_definition,paper/tables/ms96_delta_summary.csv,split=validation|protocol=k5|metric=NDCG@5,delta_definition,identity selection or protocol label normalization
ms96_delta_summary_compact.csv,5,split=validation|protocol=k5|metric=NDCG@5,mean_delta,paper/tables/ms96_delta_summary.csv,split=validation|protocol=k5|metric=NDCG@5,mean,identity selection
ms96_delta_summary_compact.csv,5,split=validation|protocol=k5|metric=NDCG@5,sample_sd,paper/tables/ms96_delta_summary.csv,split=validation|protocol=k5|metric=NDCG@5,sample_std,identity selection
